customer_id,recency,frequency,amount,segment
3880,0.9583333333333334,9,905.5555555555555,3
3910,3773.9583333333335,1,75,1
3920,3351.9583333333335,1,30,1
3940,321.9583333333333,5,136,2
3950,3359.9583333333335,1,10,1
3970,1056.9583333333333,7,29.285714285714285,4
4000,125.95833333333333,14,26.071428571428573,4
4100,3652.9583333333335,1,30,1
4110,3268.9583333333335,1,60,1
4150,1539.9583333333333,8,33.75,4
4160,3287.9583333333335,1,100,1
4180,96.95833333333333,10,18,4
4240,3725.9583333333335,1,15,1
4250,327.9583333333333,10,37,4
4260,3719.9583333333335,1,20,1
4290,1527.9583333333333,5,35,5
4300,1826.9583333333333,2,45,5
4310,3708.9583333333335,1,40,1
4340,943.9583333333334,8,72.5,4
4390,209.95833333333334,11,30,4
4410,3287.9583333333335,2,40,1
4420,3312.9583333333335,1,30,1
4470,0.9583333333333334,10,34.5,4
4480,0.9583333333333334,8,400,4
4490,1.9583333333333333,11,85,4
4530,3340.9583333333335,2,50,1
4570,3361.9583333333335,1,30,1
4580,373.9583333333333,7,68.57142857142857,4
4600,43.958333333333336,10,39,4
4610,1826.9583333333333,9,108.33333333333333,4
4650,2974.9583333333335,3,53.333333333333336,1
4680,2191.9583333333335,5,100,5
4710,13.958333333333334,13,141.92307692307693,4
4730,1826.9583333333333,5,32,5
4740,1826.9583333333333,6,105,5
4750,24.958333333333332,9,55,4
4790,1714.9583333333333,4,77.5,5
4800,0.9583333333333334,10,91.5,4
4820,3726.9583333333335,1,15,1
4840,3730.9583333333335,1,30,1
4860,57.958333333333336,5,54,2
4870,26.958333333333332,10,43.5,4
4910,1464.9583333333333,6,22.5,5
4930,2967.9583333333335,3,26.666666666666668,1
4950,1064.9583333333333,10,53,4
4970,294.9583333333333,7,26.428571428571427,4
4980,0.9583333333333334,17,105.88235294117646,4
5010,730.9583333333334,4,23.75,2
5050,264.9583333333333,5,29,2
5070,782.9583333333334,9,43.888888888888886,4
5080,1386.9583333333333,2,150,5
5210,2623.9583333333335,3,45,1
5230,369.9583333333333,5,65,2
5250,2191.9583333333335,3,50,5
5260,208.95833333333334,11,39.54545454545455,4
5280,3809.9583333333335,1,75,1
5330,204.95833333333334,11,997.7272727272727,3
5340,730.9583333333334,8,25.625,4
5390,730.9583333333334,9,49.44444444444444,4
5410,2962.9583333333335,2,35,1
5430,56.958333333333336,2,52.5,2
5480,331.9583333333333,8,81.25,4
5520,3287.9583333333335,2,100,1
5530,1169.9583333333333,11,36.36363636363637,4
5540,904.9583333333334,6,83.33333333333333,4
5560,30.958333333333332,11,68.18181818181819,4
5570,2812.9583333333335,4,37.5,1
5580,3697.9583333333335,1,15,1
5630,3585.9583333333335,1,100,1
5640,2970.9583333333335,4,30,1
5670,365.9583333333333,11,43.18181818181818,4
5680,1400.9583333333333,2,22.5,5
5710,3551.9583333333335,1,50,1
5750,141.95833333333334,5,122,2
5760,1485.9583333333333,7,142.85714285714286,4
5780,25.958333333333332,11,52.72727272727273,4
5790,225.95833333333334,11,168.1818181818182,4
5810,2925.9583333333335,2,30,1
5820,3999.9583333333335,1,100,1
5830,747.9583333333334,7,25.714285714285715,4
5840,922.9583333333334,5,30,2
5850,196.95833333333334,15,50.333333333333336,4
5920,2487.9583333333335,4,395.25,1
5930,294.9583333333333,5,32,2
5950,3697.9583333333335,1,50,1
5970,2290.9583333333335,3,36.666666666666664,1
5980,1386.9583333333333,2,17.5,5
5990,37.958333333333336,22,29.545454545454547,4
6010,3830.9583333333335,2,27.5,1
6030,692.9583333333334,10,29.5,4
6040,3656.9583333333335,1,10,1
6060,8.958333333333334,12,35.833333333333336,4
6080,1097.9583333333333,2,25,5
6090,917.9583333333334,5,20,2
6120,2922.9583333333335,2,25,1
6130,22.958333333333332,17,31.823529411764707,4
6160,2191.9583333333335,3,166.66666666666666,5
6180,2826.9583333333335,4,47.5,1
6190,2003.9583333333333,5,50,5
6200,1490.9583333333333,4,27.5,5
6210,1723.9583333333333,2,50,5
6230,324.9583333333333,12,23.75,4
6240,3004.9583333333335,3,76.66666666666667,1
6250,342.9583333333333,12,57.916666666666664,4
